branches,branch misses,LLC,LLC misses,branch miss rate,LLC miss rate,type
208876397,5382588,29034238,9120366,0.025769,0.314125,1
217218256,4656311,31076819,9254466,0.021436,0.297793,1
212337731,5130105,28154583,9332039,0.02416,0.331457,1
193929499,4562100,27789937,8862254,0.023525,0.318902,1
183188687,4628845,28810745,9489401,0.025268,0.32937,1
215081210,4846279,28730830,9087140,0.022532,0.316285,1
210063780,4616708,28542717,9075910,0.021978,0.317976,1
213573343,4988482,28247426,9009061,0.023357,0.318934,1
214026246,5112935,26850795,9144142,0.023889,0.340554,1
228011401,4274619,30089016,9493138,0.018747,0.315502,1
194304753,4799565,29356445,9351098,0.024701,0.318536,1
196854974,4954528,28902456,9068405,0.025168,0.313759,1
187217967,4357271,29221693,9318944,0.023274,0.318905,1
197252613,4875373,28538368,9116708,0.024716,0.319454,1
227673718,5520138,28733822,9452146,0.024246,0.328955,1
207231701,5080853,27903170,9083475,0.024518,0.325536,1
211367220,4851728,30256630,9399460,0.022954,0.310658,1
214530603,4826206,29419138,9762110,0.022497,0.331829,1
219866757,5287580,28121416,9510870,0.024049,0.338207,1
208586192,4761377,30254014,9463035,0.022827,0.312786,1
213413786,5389221,31423296,9735966,0.025252,0.309833,1
206714060,5120655,31187277,9041561,0.024772,0.289912,1
207311593,4869772,30206185,8963403,0.02349,0.296741,1
183526757,4979418,28252965,9469300,0.027132,0.335161,1
230133968,5330964,31434433,9970045,0.023165,0.31717,1
216852937,5101343,28256273,9663633,0.023524,0.342,1
185613031,4583746,28595058,8860214,0.024695,0.309851,1
206629403,5040013,30482165,8533666,0.024392,0.279956,1
203558804,4630024,27958771,8645597,0.022745,0.309227,1
235741895,5274984,30926121,10859720,0.022376,0.35115,1
210124612,4900028,28806031,8821026,0.02332,0.306221,1
181343700,4550536,26935147,9188152,0.025093,0.341121,1
204868710,5144084,30916961,9526112,0.025109,0.308119,1
202278676,5122564,30669024,9329515,0.025324,0.3042,1
207573435,4868641,28722199,9083722,0.023455,0.316261,1
212632390,5163819,30080698,8848149,0.024285,0.294147,1
207209829,5332455,28164000,9312997,0.025735,0.33067,1
211633431,5039189,28207055,9296451,0.023811,0.329579,1
215810799,5107932,31359510,9443024,0.023669,0.301122,1
231030352,5693569,31967964,10452702,0.024644,0.326974,1
203373135,4812400,28962436,8898779,0.023663,0.307252,1
207659947,4594047,28965724,9269283,0.022123,0.320009,1
211506171,4988969,29164241,9761550,0.023588,0.33471,1
291494438,6112109,33337708,10448236,0.020968,0.313406,1
189045640,4725052,26641663,8251191,0.024994,0.30971,1
187731837,4412942,28806224,8548138,0.023507,0.296746,1
184024722,4526458,30165099,9195600,0.024597,0.304842,1
300994234,6379847,32781882,10357994,0.021196,0.315967,1
290224577,5959312,31981264,10711938,0.020533,0.334944,1
219476925,5305780,29421281,9544429,0.024175,0.324406,1
213901958,4615032,27464387,8931162,0.021575,0.325191,1
218341104,4927784,28853681,8864035,0.022569,0.307206,1
222440648,5012076,30196315,9848267,0.022532,0.326141,1
205647292,5156868,28825113,9426154,0.025076,0.327012,1
214049286,5195755,30898769,9101177,0.024274,0.294548,1
221510633,5442824,27389782,9297030,0.024571,0.339434,1
210256414,4500014,27143758,8893555,0.021403,0.327646,1
209717643,5071304,30182677,9417362,0.024182,0.312012,1
208982907,4886057,29068577,9060191,0.02338,0.311683,1
201400186,4478645,30735352,9283833,0.022238,0.302057,1
211936347,5020310,28812035,9256162,0.023688,0.32126,1
217861995,5002920,29840939,9095060,0.022964,0.304785,1
212327786,4986335,28448693,8382498,0.023484,0.294653,1
210879488,4645239,28421048,8909357,0.022028,0.313477,1
180162396,4561993,27803982,8754469,0.025322,0.314864,1
202247505,4880176,29886983,9467575,0.02413,0.316779,1
221233027,5380661,29773657,9139285,0.024321,0.306959,1
211167712,4886451,29168987,9062645,0.02314,0.310695,1
180889479,4572626,29005718,9211292,0.025279,0.317568,1
200873266,4405707,29234335,9073456,0.021933,0.31037,1
214229110,4910026,28366230,9019856,0.02292,0.317979,1
205578252,4488934,28253809,8719658,0.021836,0.308619,1
211216557,5135839,28858885,8913138,0.024316,0.308852,1
225983754,5357742,29584747,9069900,0.023709,0.306574,1
204656700,4806113,28988774,9285311,0.023484,0.320307,1
205671511,4872252,30168710,8662329,0.023689,0.28713,1
202088102,4927872,30494457,9540476,0.024385,0.312859,1
213328145,4681232,28242313,8159346,0.021944,0.288905,1
238935103,5146791,28488063,9382547,0.021541,0.32935,1
209224192,5220350,27950125,8946181,0.024951,0.320077,1
214475013,4601708,29276542,9517758,0.021456,0.325098,1
205016618,4810677,30529681,8825565,0.023465,0.289081,1
194912610,4964282,28650508,9483895,0.025469,0.33102,1
206975564,5070710,30543673,9485858,0.024499,0.310567,1
213385676,5205508,28913797,9360236,0.024395,0.323729,1
196220150,4748309,28329135,9278350,0.024199,0.32752,1
208968839,5061753,29669540,8861680,0.024223,0.298679,1
